state,district,IF__anomaly_density,IF__anomaly_count,rows
Andhra Pradesh,ALLURI SITHARAMA RAJU,0.2345679012345679,114.0,486
Andhra Pradesh,ANAKAPALLE,0.0411522633744856,20.0,486
Andhra Pradesh,ANANTAPUR,0.242798353909465,118.0,486
Andhra Pradesh,ANANTHAPURAMU,0.2098765432098765,102.0,486
Andhra Pradesh,ANNAMAYYA,0.205761316872428,100.0,486
Andhra Pradesh,BAPATLA,0.1851851851851851,90.0,486
Andhra Pradesh,CHITTOOR,0.0781893004115226,38.0,486
Andhra Pradesh,CUDDAPAH,0.2119341563786008,103.0,486
Andhra Pradesh,EAST GODAVARI,0.2304526748971193,112.0,486
Andhra Pradesh,ELURU,0.0823045267489712,40.0,486
Andhra Pradesh,GUNTUR,0.0411522633744856,20.0,486
Andhra Pradesh,KONA SEEMA,0.0987654320987654,48.0,486
Andhra Pradesh,KRISHNA,0.0596707818930041,29.0,486
Andhra Pradesh,KURNOOL,0.088477366255144,43.0,486
Andhra Pradesh,Kadapa,0.0452674897119341,22.0,486
Andhra Pradesh,NELLORE,0.1748971193415638,85.0,486
Andhra Pradesh,PRAKASAM,0.2304526748971193,112.0,486
Andhra Pradesh,Palnadu,0.2263374485596707,110.0,486
Andhra Pradesh,Parvathipuram,0.1502057613168724,73.0,486
Andhra Pradesh,SRI SATHYA SAI,0.1707818930041152,83.0,486
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.1234567901234567,60.0,486
Andhra Pradesh,Tirupathi,0.0411522633744856,20.0,486
Andhra Pradesh,VISAKHAPATNAM,0.0411522633744856,20.0,486
Andhra Pradesh,VIZIANAGARAM,0.0905349794238683,44.0,486
Andhra Pradesh,WEST GODAVARI,0.1522633744855967,74.0,486
Andhra Pradesh,Y.s.r.,0.0411522633744856,20.0,486
Arunachal Pradesh,Namsai,0.1790123456790123,87.0,486
Assam,BARPETA,0.0411522633744856,20.0,486
Assam,BONGAIGAON,0.242798353909465,118.0,486
Assam,Baksa,0.0411522633744856,20.0,486
Assam,DARRANG,0.242798353909465,118.0,486
Assam,DHEMAJI,0.0637860082304526,31.0,486
Assam,DHUBRI,0.0411522633744856,20.0,486
Assam,GOALPARA,0.242798353909465,118.0,486
Assam,HAILAKANDI,0.242798353909465,118.0,486
Assam,JORHAT,0.1008230452674897,49.0,486
Assam,KAMRUP,0.1049382716049382,51.0,486
Assam,KARBI ANGLONG,0.1440329218106996,70.0,486
Assam,Kamrup Metropolitan,0.2160493827160493,105.0,486
Assam,LAKHIMPUR,0.242798353909465,118.0,486
Assam,MARIGAON,0.242798353909465,118.0,486
Assam,NAGAON,0.242798353909465,118.0,486
Assam,SIVSAGAR,0.1604938271604938,78.0,486
Assam,SONITPUR,0.1193415637860082,58.0,486
Assam,Udalguri,0.242798353909465,118.0,486
Bihar,AURANGABAD,0.1584362139917695,77.0,486
Bihar,BEGUSARAI,0.2366255144032922,115.0,486
Bihar,BHAGALPUR,0.1872427983539094,91.0,486
Bihar,JAMUI,0.2160493827160493,105.0,486
Bihar,KAIMUR,0.1748971193415638,85.0,486
Bihar,KATIHAR,0.1790123456790123,87.0,486
Bihar,KHAGARIA,0.2160493827160493,105.0,486
Bihar,PATNA,0.0843621399176954,41.0,486
Bihar,ROHTAS,0.1481481481481481,72.0,486
Chandigarh,CHANDIGARH,0.0469083155650319,22.0,469
Chhattisgarh,BALOD,0.1810699588477366,88.0,486
Chhattisgarh,BALODABAZAR,0.2119341563786008,103.0,486
Chhattisgarh,BALRAMPUR,0.2304526748971193,112.0,486
Chhattisgarh,BASTAR,0.242798353909465,118.0,486
Chhattisgarh,BEMETARA,0.242798353909465,118.0,486
Chhattisgarh,BILASPUR,0.2407407407407407,117.0,486
Chhattisgarh,DHAMTARI,0.0411522633744856,20.0,486
Chhattisgarh,DURG,0.2345679012345679,114.0,486
Chhattisgarh,GARIABAND,0.1111111111111111,54.0,486
